A2M	NM_000014.4
NRXN2	NM_138732.2
NRXN2	NM_138734.2
NRXN3	NM_004796.5
NSD1	NM_022455.4
NSDHL	NM_015922.2
NSMCE2	NM_173685.2
NSMF	NM_015537.4
NSUN2	NM_017755.5
NSUN3	NM_022072.3
NSUN7	NM_024677.4
NT5C1A	NM_032526.2
NT5C1B	NM_001002006.2
NT5C2	NM_012229.4
NT5C3A	NM_016489.12
NT5E	NM_002526.3
NTF3	NM_002527.4
NTF4	NM_006179.4
NTHL1	NM_002528.5
NTNG1	NM_014917.2
NTRK1	NM_001012331.1
NTRK2	NM_006180.4
NTRK3	NM_001012338.2
NUAK1	NM_014840.2
NUB1	NM_001243351.1
NUBPL	NM_025152.2
NUCB2	NM_005013.2
NUDC	NM_006600.3
NUDT1	NM_002452.3
NUDT15	NM_018283.2
NUDT19	NM_001105570.1
NUDT6	NM_007083.4
NUDT7	NM_001105663.2
NUMA1	NM_006185.3
NUP107	NM_020401.2
NUP155	NM_153485.2
NUP205	NM_015135.2
NUP210	NM_024923.3
NUP214	NM_005085.3
NUP37	NM_024057.2
NUP62	NM_153719.3
NUP93	NM_014669.4
NUP98	NM_139132.3
NUS1	NM_138459.3
NVL	NM_002533.3
NXF3	NM_022052.1
NXF5	NM_032946.2
NXNL1	NM_138454.1
NXPH3	NM_007225.2
NYNRIN	NM_025081.2
NYX	NM_022567.2
OARD1	NM_145063.2
OAS1	NM_001032409.1
OAS1	NM_016816.2
OAS3	NM_006187.3
OAT	NM_000274.3
OBFC1	NM_024928.4
OBSCN	NM_001098623.2
OBSCN	NM_052843.3
OBSL1	NM_015311.2
OCA2	NM_000275.2
OCEL1	NM_024578.2
OCLN	NM_002538.3
OCRL	NM_000276.3
OFD1	NM_003611.2
OGDHL	NM_001143996.1
OGG1	NM_002542.5
OGG1	NM_016821.2
OGG1	NM_016828.2
OGT	NM_181672.2
OLFM2	NM_058164.3
OLR1	NM_002543.3
OMG	NM_002544.4
OPA1	NM_015560.2
OPA1	NM_130837.2
OPA3	NM_001017989.2
OPA3	NM_025136.3
OPHN1	NM_002547.2
OPN1LW	NM_020061.5
OPN1MW	NM_000513.2
OPN1SW	NM_001708.2
OPN4	NM_001030015.2
OPRD1	NM_000911.3
OPRK1	NM_000912.3
OPRL1	NM_182647.2
OPRM1	NM_000914.4
OPRM1	NM_001008505.2
OPTC	NM_014359.3
OPTN	NM_021980.4
OR10C1	NM_013941.3
OR10G3	NM_001005465.1
OR10G4	NM_001004462.1
OR10G7	NM_001004463.1
OR10J5	NM_001004469.1
OR10V1	NM_001005324.1
OR10X1	NM_001004477.1
OR10Z1	NM_001004478.1
OR12D2	NM_013936.3
OR13G1	NM_001005487.1
OR13H1	NM_001004486.1
OR1A1	NM_014565.2
OR1B1	NM_001004450.1
OR1J1	NM_001004451.1
OR1S1	NM_001004458.1
OR2A25	NM_001004488.1
OR2B11	NM_001004492.1
OR2C1	NM_012368.2
OR2F1	NM_012369.2
OR2J2	NM_030905.2
OR2J3	NM_001005216.3
OR2M2	NM_001004688.1
OR2T3	NM_001005495.1
OR2W1	NM_030903.3
OR2W3	NM_001001957.2
OR4M2	NM_001004719.2
OR4Q3	NM_172194.1
OR4X1	NM_001004726.1
OR51G1	NM_001005237.1
OR51L1	NM_001004755.1
OR52H1	NM_001005289.1
OR52N4	NM_001005175.3
OR5AC2	NM_054106.1
OR5H6	NM_001005479.1
OR6Y1	NM_001005189.1
OR7C1	NM_198944.1
OR7D4	NM_001005191.2
OR8H1	NM_001005199.1
OR8K3	NM_001005202.1
ORC1	NM_004153.3
ORC4	NM_002552.4
ORC6	NM_014321.3
OSBPL1A	NM_080597.3
OSBPL2	NM_144498.2
OSBPL3	NM_015550.3
OSBPL5	NM_020896.3
OSER1	NM_016470.7
OSGIN1	NM_182981.2
OSMR	NM_003999.2
OSR1	NM_145260.2
OSTM1	NM_014028.3
OTC	NM_000531.5
OTOA	NM_144672.3
OTOF	NM_194248.2
OTOF	NM_194322.2
OTOF	NM_194323.2
OTOG	NM_001277269.1
OTOGL	NM_173591.3
OTOR	NM_020157.3
OTUD4	NM_001102653.1
OTX2	NM_172337.2
OVGP1	NM_002557.3
OXCT1	NM_000436.3
OXTR	NM_000916.3
P2RX1	NM_002558.3
P2RX2	NM_174873.2
P2RX4	NM_002560.2
P2RX5	NM_002561.3
P2RX7	NM_002562.5
P2RY11	NM_002566.4
P2RY12	NM_022788.4
P4HA2	NM_004199.2
P4HB	NM_000918.3
PABPN1	NM_004643.3
PACS1	NM_018026.3
PADI4	NM_012387.2
PAFAH1B1	NM_000430.3
PAFAH1B2	NM_001184746.1
PAH	NM_000277.1
PAK3	NM_001128173.1
PAK3	NM_002578.3
PAK7	NM_020341.3
PALB2	NM_024675.3
PAM	NM_000919.3
PAM16	NM_016069.9
PANK2	NM_153638.2
PANX1	NM_015368.3
PAPD4	NM_173797.3
PAPPA2	NM_020318.2
PAPSS2	NM_001015880.1
PAQR8	NM_133367.4
PAQR9	NM_198504.2
PARD3	NM_019619.3
PARD3B	NM_152526.5
PARK2	NM_004562.2
PARK7	NM_007262.4
PARL	NM_018622.5
PARM1	NM_015393.3
PARN	NM_002582.3
PARP1	NM_001618.3
PARP2	NM_005484.3
PARP4	NM_006437.3
PARS2	NM_152268.3
PASK	NM_015148.3
PAWR	NM_002583.2
PAX1	NM_006192.4
PAX2	NM_003988.3
PAX3	NM_181457.3
PAX4	NM_006193.2
PAX5	NM_016734.2
PAX6	NM_000280.4
PAX6	NM_001604.5
PAX7	NM_002584.2
PAX8	NM_003466.3
PAX9	NM_006194.3
PBX1	NM_002585.3
PBX3	NM_006195.5
PBX4	NM_025245.2
PC	NM_000920.3
PCBD1	NM_000281.3
PCCA	NM_000282.3
PCCB	NM_000532.4
PCDH10	NM_032961.2
PCDH12	NM_016580.3
PCDH15	NM_001142763.1
PCDH15	NM_001142769.1
PCDH15	NM_001142771.1
PCDH15	NM_033056.3
PCDH18	NM_019035.4
PCDH19	NM_001184880.1
PCDHA13	NM_018904.2
PCDHA3	NM_018906.2
PCDHAC1	NM_018898.3
PCDHAC2	NM_018899.5
PCDHB16	NM_020957.3
PCDHB4	NM_018938.3
PCGF2	NM_007144.2
PCK1	NM_002591.3
PCK2	NM_004563.3
PCLO	NM_033026.5
PCM1	NM_006197.3
PCMT1	NM_005389.2
PCNA	NM_002592.2
PCNT	NM_006031.5
PCOLCE	NM_002593.3
PCSK1	NM_000439.4
PCSK5	NM_001190482.1
PCSK7	NM_004716.3
PCSK9	NM_174936.3
PCYT1A	NM_005017.2
PDCD1	NM_005018.2
PDCD10	NM_145860.1
PDCD11	NM_014976.1
PDE10A	NM_001130690.2
PDE11A	NM_016953.3
PDE3A	NM_000921.4
PDE3B	NM_000922.3
PDE4C	NM_000923.4
PDE4D	NM_001104631.1
PDE4DIP	NM_001002811.2
PDE5A	NM_033430.2
PDE6A	NM_000440.2
PDE6B	NM_000283.3
PDE6C	NM_006204.3
PDE6D	NM_002601.3
PDE6G	NM_002602.3
PDE6H	NM_006205.2
PDE8B	NM_003719.3
PDGFB	NM_002608.2
PDGFRA	NM_006206.4
PDGFRB	NM_002609.3
PDHA1	NM_000284.3
PDHB	NM_000925.3
PDHX	NM_003477.2
PDIA3	NM_005313.4
PDIA4	NM_004911.4
PDK3	NM_001142386.2
PDK4	NM_002612.3
PDLIM3	NM_014476.5
PDLIM4	NM_001131027.1
PDLIM5	NM_006457.4
PDP1	NM_018444.3
PDPR	NM_017990.3
PDSS1	NM_014317.3
PDSS2	NM_020381.3
PDX1	NM_000209.3
PDYN	NM_024411.4
PDZD2	NM_178140.2
PDZD7	NM_001195263.1
PECR	NM_018441.5
PEMT	NM_007169.2
PENK	NM_001135690.1
PEPD	NM_000285.3
PER1	NM_002616.2
PER2	NM_022817.2
PER3	NM_016831.2
PET100	NM_001171155.1
PEX1	NM_000466.2
PEX10	NM_153818.1
PEX11B	NM_003846.2
PEX11G	NM_080662.3
PEX12	NM_000286.2
PEX13	NM_002618.3
PEX14	NM_004565.2
PEX16	NM_004813.2
PEX19	NM_002857.3
PEX2	NM_000318.2
PEX26	NM_017929.5
PEX3	NM_003630.2
PEX5	NM_001131025.1
PEX6	NM_000287.3
PEX7	NM_000288.3
PFAS	NM_012393.2
PFKFB1	NM_002625.3
PFKM	NM_000289.5
PFN1	NM_005022.3
PGAM1	NM_002629.2
PGAM2	NM_000290.3
PGAM4	NM_001029891.2
PGAP1	NM_024989.3
PGAP2	NM_001256240.1
PGAP3	NM_033419.4
PGBD1	NM_032507.3
PGBD4	NM_152595.4
PGK1	NM_000291.3
PGLYRP2	NM_052890.3
PGLYRP3	NM_052891.2
PGLYRP4	NM_020393.3
PGM1	NM_002633.2
PGM3	NM_001199917.1
PGR	NM_000926.4
PGRMC1	NM_006667.4
PGS1	NM_024419.4
PHACTR1	NM_030948.2
PHB	NM_002634.3
PHB2	NM_001144831.1
PHC1	NM_004426.2
PHC2	NM_198040.2
PHEX	NM_000444.5
PHF10	NM_018288.3
PHF11	NM_001040443.1
PHF19	NM_015651.2
PHF2	NM_005392.3
PHF20	NM_016436.4
PHF3	NM_015153.3
PHF6	NM_032458.2
PHF7	NM_016483.5
PHF8	NM_001184896.1
PHF8	NM_015107.2
PHGDH	NM_006623.3
PHIP	NM_017934.5
PHKA1	NM_002637.3
PHKA2	NM_000292.2
PHKB	NM_000293.2
PHKB	NM_001031835.2
PHKG2	NM_000294.2
PHLDB1	NM_015157.3
PHLPP2	NM_015020.3
PHOX2A	NM_005169.3
PHOX2B	NM_003924.3
PHYH	NM_006214.3
PHYKPL	NM_153373.3
PI15	NM_015886.3
PI3	NM_002638.3
PI4KA	NM_058004.3
PIAS1	NM_016166.1
PIBF1	NM_006346.2
PICALM	NM_007166.3
PICK1	NM_012407.3
PIEZO1	NM_001142864.2
PIEZO2	NM_022068.3
PIF1	NM_025049.3
PIGA	NM_002641.3
PIGC	NM_002642.3
PIGF	NM_002643.3
PIGG	NM_001127178.2
PIGL	NM_004278.3
PIGN	NM_176787.4
PIGO	NM_032634.3
PIGQ	NM_004204.3
PIGR	NM_002644.3
PIGT	NM_015937.5
PIGV	NM_017837.3
PIGW	NM_178517.3
PIGY	NM_001042616.2
PIK3AP1	NM_152309.2
PIK3C2B	NM_002646.3
PIK3C2G	NM_004570.5
PIK3CA	NM_006218.2
PIK3CD	NM_005026.3
PIK3CG	NM_002649.3
PIK3R1	NM_181504.3
PIK3R1	NM_181523.2
PIK3R2	NM_005027.3
PIK3R3	NM_003629.3
PIK3R5	NM_001142633.2
PIKFYVE	NM_015040.3
PIN1	NM_006221.3
PINK1	NM_032409.2
PIP4K2A	NM_005028.4
PIP5K1C	NM_012398.2
PIR	NM_003662.3
PITPNM1	NM_004910.2
PITPNM3	NM_031220.3
PITRM1	NM_001242309.1
PITX1	NM_002653.4
PITX2	NM_000325.5
PITX2	NM_153426.2
PITX2	NM_153427.2
PITX3	NM_005029.3
PIWIL3	NM_001008496.3
PIWIL4	NM_152431.2
PKD1	NM_001009944.2
PKD1L1	NM_138295.3
PKD2	NM_000297.3
PKDCC	NM_138370.2
PKDREJ	NM_006071.1
PKHD1	NM_138694.3
PKHD1L1	NM_177531.4
PKLR	NM_000298.5
PKM	NM_002654.4
PKNOX1	NM_004571.4
PKP1	NM_001005337.2
PKP2	NM_004572.3
PLA2G10	NM_003561.1
PLA2G2A	NM_000300.3
PLA2G2D	NM_012400.3
PLA2G4A	NM_024420.2
PLA2G4C	NM_003706.2
PLA2G5	NM_000929.2
PLA2G6	NM_003560.2
PLA2G7	NM_005084.3
PLA2R1	NM_007366.4
PLAGL1	NM_001080951.1
PLAT	NM_000930.3
PLAU	NM_002658.3
PLAUR	NM_002659.3
PLB1	NM_153021.4
PLCB1	NM_015192.3
PLCB4	NM_000933.3
PLCD1	NM_001130964.1
PLCD4	NM_032726.3
PLCE1	NM_016341.3
PLCG2	NM_002661.4
PLCXD3	NM_001005473.2
PLCZ1	NM_033123.3
PLD2	NM_002663.4
PLD3	NM_012268.3
PLEC	NM_000445.4
PLEC	NM_201378.3
PLEC	NM_201384.2
PLEKHA6	NM_014935.4
PLEKHG2	NM_022835.2
PLEKHG5	NM_020631.4
PLEKHH1	NM_020715.2
PLEKHH2	NM_172069.3
PLEKHM1	NM_014798.2
PLEKHM2	NM_015164.2
PLEKHO2	NM_025201.4
PLG	NM_000301.3
PLIN1	NM_002666.4
PLIN2	NM_001122.3
PLK1	NM_005030.4
PLK4	NM_014264.4
PLN	NM_002667.3
PLOD1	NM_000302.3
PLOD2	NM_182943.2
PLOD3	NM_001084.4
PLP1	NM_000533.4
PLP2	NM_002668.2
PLPPR4	NM_014839.4
PLS3	NM_005032.6
PLTP	NM_006227.3
PLVAP	NM_031310.2
PLXNA1	NM_032242.3
PLXNA3	NM_017514.4
PLXNA4	NM_020911.1
PLXNB1	NM_002673.5
PLXNB3	NM_005393.2
PLXND1	NM_015103.2
PMAIP1	NM_021127.2
PMEL	NM_001200054.1
PMFBP1	NM_031293.2
PML	NM_033238.2
PML	NM_033250.2
PMM2	NM_000303.2
PMP2	NM_002677.3
PMP22	NM_000304.3
PMPCA	NM_015160.2
PMS1	NM_000534.4
PMS2	NM_000535.5
PMVK	NM_006556.3
PNKD	NM_015488.4
PNKP	NM_007254.3
PNLIP	NM_000936.2
PNMT	NM_002686.4
PNP	NM_000270.3
PNPLA1	NM_001145717.1
PNPLA2	NM_020376.3
PNPLA3	NM_025225.2
PNPLA4	NM_001142389.1
PNPLA6	NM_006702.4
PNPLA8	NM_015723.3
PNPO	NM_018129.3
PNPT1	NM_033109.4
POC1A	NM_015426.4
POC1B	NM_172240.2
POC5	NM_001099271.1
PODXL	NM_005397.3
POF1B	NM_024921.3
POFUT1	NM_015352.1
POGLUT1	NM_152305.2
POGZ	NM_015100.3
POLB	NM_002690.2
POLD1	NM_002691.3
POLD3	NM_006591.2
POLE	NM_006231.3
POLE2	NM_002692.3
POLG	NM_002693.2
POLG2	NM_007215.3
POLH	NM_006502.2
POLI	NM_007195.2
POLK	NM_016218.2
POLL	NM_013274.3
POLR1A	NM_015425.3
POLR1C	NM_203290.2
POLR1D	NM_015972.3
POLR2M	NM_015532.4
POLR3A	NM_007055.3
POLR3B	NM_018082.5
POM121C	NM_001099415.2
POMC	NM_001035256.1
POMGNT1	NM_017739.3
POMGNT2	NM_032806.5
POMK	NM_032237.4
POMP	NM_015932.5
POMT1	NM_007171.3
POMT2	NM_013382.5
PON1	NM_000446.5
PON2	NM_000305.2
PON3	NM_000940.2
POP1	NM_015029.2
POR	NM_000941.2
PORCN	NM_203475.2
POSTN	NM_006475.2
POT1	NM_015450.2
POU1F1	NM_000306.3
POU3F4	NM_000307.4
POU4F3	NM_002700.2
POU5F1	NM_002701.5
POU5F1B	NM_001159542.1
POU6F2	NM_007252.3
PPAP2B	NM_003713.4
PPAPDC2	NM_203453.3
PPARA	NM_005036.4
PPARG	NM_015869.4
PPARGC1A	NM_013261.3
PPARGC1B	NM_133263.3
PPAT	NM_002703.4
PPEF2	NM_006239.2
PPFIA4	NM_001304331.1
PPIB	NM_000942.4
PPIG	NM_004792.2
PPM1D	NM_003620.3
PPM1K	NM_152542.4
PPOX	NM_000309.3
PPP1CB	NM_206876.1
PPP1R15B	NM_032833.4
PPP1R1A	NM_006741.3
PPP1R3A	NM_002711.3
PPP1R3C	NM_005398.5
PPP2R1A	NM_014225.5
PPP2R1B	NM_002716.4
PPP2R2B	NM_181678.2
PPP2R5B	NM_006244.3
PPP2R5C	NM_001161725.1
PPP2R5D	NM_006245.3
PPP3CA	NM_000944.4
PPP6R3	NM_001164160.1
PPT1	NM_000310.3
PQBP1	NM_005710.2
PRADC1	NM_032319.1
PRAMEF2	NM_023014.1
PRB1	NM_005039.3
PRB4	NM_002723.4
PRCD	NM_001077620.2
PRCP	NM_005040.2
PRDM1	NM_001198.3
PRDM12	NM_021619.2
PRDM16	NM_022114.3
PRDM2	NM_012231.4
PRDM5	NM_018699.3
PRDM6	NM_001136239.1
PRDM8	NM_020226.3
PRDM9	NM_020227.2
PRDX1	NM_002574.3
PRDX2	NM_005809.5
PRDX4	NM_006406.1
PREPL	NM_006036.4
PRF1	NM_001083116.1
PRG4	NM_005807.4
PRICKLE1	NM_153026.2
PRICKLE2	NM_198859.3
PRICKLE3	NM_006150.3
PRIMA1	NM_178013.3
PRIMPOL	NM_152683.3
PRKAA2	NM_006252.3
PRKACA	NM_002730.3
PRKACB	NM_182948.3
PRKACG	NM_002732.3
PRKAG1	NM_001206709.1
PRKAG2	NM_016203.3
PRKAG3	NM_017431.2
PRKAR1A	NM_002734.4
PRKAR1B	NM_001164761.1
PRKCA	NM_002737.2
PRKCD	NM_006254.3
PRKCG	NM_002739.3
PRKCH	NM_006255.4
PRKCSH	NM_002743.3
PRKD1	NM_002742.2
PRKG1	NM_006258.3
PRKRA	NM_003690.4
PRLHR	NM_004248.2
PRLR	NM_000949.6
PRM1	NM_002761.2
PRM2	NM_002762.3
PRMT3	NM_005788.3
PRMT7	NM_019023.2
PRMT9	NM_138364.3
PRND	NM_012409.3
PRNP	NM_000311.3
PROC	NM_000312.3
PROCR	NM_006404.4
PRODH	NM_016335.4
PROK1	NM_032414.2
PROK2	NM_001126128.1
PROKR1	NM_138964.2
PROKR2	NM_144773.2
PROM1	NM_006017.2
PROP1	NM_006261.4
PROS1	NM_000313.3
PROX2	NM_001243007.1
PROZ	NM_003891.2
PRPF3	NM_004698.2
PRPF31	NM_015629.3
PRPF39	NM_017922.3
PRPF4	NM_004697.4
PRPF6	NM_012469.3
PRPF8	NM_006445.3
PRPH	NM_006262.3
PRPH2	NM_000322.4
PRPS1	NM_002764.3
PRRC2A	NM_080686.2
PRRC2C	NM_015172.3
PRRT2	NM_145239.2
PRRX1	NM_022716.3
PRSS1	NM_002769.4
PRSS12	NM_003619.3
PRSS37	NM_001008270.2
PRSS38	NM_183062.2
PRSS53	NM_001039503.2
PRSS56	NM_001195129.1
PRSS8	NM_002773.3
PRTG	NM_173814.5
PRUNE	NM_021222.2
PRUNE2	NM_015225.2
PRX	NM_181882.2
PSAP	NM_002778.2
PSAPL1	NM_001085382.1
PSAT1	NM_058179.3
PSCA	NM_005672.4
PSD3	NM_015310.3
PSEN1	NM_000021.3
PSEN2	NM_000447.2
PSENEN	NM_172341.2
PSMA3	NM_002788.3
PSMA7	NM_002792.3
PSMB4	NM_002796.2
PSMB7	NM_002799.3
PSMB8	NM_148919.3
PSMB9	NM_002800.4
PSMC2	NM_002803.3
PSMC3IP	NM_016556.3
PSMD2	NM_002808.4
PSMD7	NM_002811.4
PSMD9	NM_002813.6
PSPC1	NM_001042414.2
PSPH	NM_004577.3
PSPN	NM_004158.2
PSTPIP1	NM_003978.3
PTAFR	NM_000952.4
PTBP1	NM_002819.4
PTCD1	NM_015545.3
PTCH1	NM_000264.3
PTCH1	NM_001083602.1
PTCH1	NM_001083603.1
PTCH2	NM_003738.4
PTCHD1	NM_173495.2
PTCHD3	NM_001034842.3
PTDSS1	NM_014754.2
PTEN	NM_000314.5
PTF1A	NM_178161.2
PTGES2	NM_025072.6
PTGIR	NM_000960.3
PTGIS	NM_000961.3
PTGS1	NM_000962.3
PTGS2	NM_000963.3
PTH	NM_000315.2
PTH1R	NM_000316.2
PTH2R	NM_005048.3
PTHLH	NM_198965.1
PTK2B	NM_004103.4
PTK7	NM_152881.3
PTPLA	NM_014241.3
PTPN1	NM_002827.3
PTPN11	NM_002834.3
PTPN12	NM_002835.3
PTPN13	NM_080685.2
PTPN21	NM_007039.3
PTPN22	NM_015967.5
PTPN23	NM_015466.3
PTPN3	NM_002829.3
PTPN5	NM_006906.1
PTPN6	NM_080549.3
PTPRA	NM_002836.3
PTPRB	NM_001109754.2
PTPRC	NM_002838.4
PTPRD	NM_002839.3
PTPRF	NM_002840.3
PTPRG	NM_002841.3
PTPRJ	NM_002843.3
PTPRK	NM_001135648.2
PTPRO	NM_030667.2
PTPRS	NM_002850.3
PTPRT	NM_133170.3
PTRF	NM_012232.5
PTRH2	NM_016077.3
PTS	NM_000317.2
PUF60	NM_078480.2
PURA	NM_005859.4
PUS1	NM_025215.5
PUS3	NM_031307.3
PVR	NM_001135770.3
PVR	NM_006505.4
PVRL1	NM_002855.4
PVRL1	NM_203285.1
PVRL2	NM_001042724.1
PVRL4	NM_030916.2
PWWP2A	NM_001130864.1
PXDN	NM_012293.2
PXDNL	NM_144651.4
PXT1	NM_152990.3
PYCARD	NM_013258.4
PYCR1	NM_006907.3
PYCR2	NM_013328.3
PYCRL	NM_023078.3
PYGL	NM_002863.4
PYGM	NM_005609.2
PYGO1	NM_015617.2
PYGO2	NM_138300.3
PYY	NM_004160.4
PZP	NM_002864.2
QARS	NM_005051.2
QDPR	NM_000320.2
QRSL1	NM_018292.4
QSER1	NM_001076786.2
QTRTD1	NM_024638.3
RAB10	NM_016131.4
RAB11FIP5	NM_015470.2
RAB18	NM_021252.4
RAB23	NM_183227.2
RAB25	NM_020387.2
RAB27A	NM_004580.4
RAB28	NM_004249.3
RAB29	NM_003929.2
RAB2A	NM_002865.2
RAB33B	NM_031296.1
RAB34	NM_031934.5
RAB39B	NM_171998.3
RAB3GAP1	NM_012233.2
RAB3GAP2	NM_012414.3
RAB40AL	NM_001031834.1
RAB7A	NM_004637.5
RABGGTA	NM_182836.2
RABL6	NM_024718.4
RAC2	NM_002872.4
RAD21	NM_006265.2
RAD21L1	NM_001136566.2
RAD23B	NM_002874.4
RAD50	NM_005732.3
RAD51	NM_002875.4
RAD51B	NM_133509.3
RAD51C	NM_058216.2
RAD51D	NM_002878.3
RAD52	NM_134424.3
RAD54L	NM_003579.3
RAD54L2	NM_015106.2
RAD9A	NM_004584.2
RAET1L	NM_130900.2
RAF1	NM_002880.3
RAG1	NM_000448.2
RAG2	NM_000536.3
RAI1	NM_030665.3
RALGDS	NM_006266.3
RANBP2	NM_006267.4
RANBP6	NM_012416.3
RANGAP1	NM_002883.3
RANGRF	NM_016492.4
RAPGEF1	NM_198679.1
RAPGEF4	NM_007023.3
RAPSN	NM_005055.4
RARB	NM_000965.4
RARG	NM_000966.5
RARS	NM_002887.3
RARS2	NM_020320.3
RASA1	NM_002890.2
RASA2	NM_006506.3
RASAL1	NM_001193520.1
RASGRP2	NM_153819.1
RASGRP4	NM_170604.2
RASSF1	NM_007182.4
RASSF5	NM_182663.3
RAX	NM_013435.2
RAX2	NM_032753.3
RB1	NM_000321.2
RB1CC1	NM_014781.4
RBBP5	NM_005057.3
RBBP6	NM_006910.4
RBBP8	NM_002894.2
RBCK1	NM_031229.2
RBFOX1	NM_145891.2
RBFOX3	NM_001082575.2
RBL1	NM_002895.3
RBM10	NM_005676.4
RBM20	NM_001134363.2
RBM28	NM_018077.2
RBM43	NM_198557.2
RBM48	NM_032120.2
RBM8A	NM_005105.4
RBMXL2	NM_014469.4
RBP1	NM_002899.3
RBP3	NM_002900.2
RBP4	NM_006744.3
RBP5	NM_031491.2
RBPJ	NM_005349.3
RCBTB1	NM_018191.3
RCOR1	NM_015156.3
RD3	NM_183059.2
RDH10	NM_172037.4
RDH11	NM_016026.3
RDH12	NM_152443.2
RDH5	NM_002905.3
RDX	NM_002906.3
RECQL	NM_002907.3
RECQL5	NM_004259.6
REEP1	NM_001164732.1
REEP1	NM_022912.2
REEP2	NM_001271803.1
RELA	NM_021975.3
RELN	NM_005045.3
RELT	NM_032871.3
REN	NM_000537.3
RERE	NM_012102.3
REST	NM_005612.4
RET	NM_020630.4
RETN	NM_020415.3
REV1	NM_016316.2
REV3L	NM_002912.4
RFC2	NM_181471.2
RFT1	NM_052859.3
RFX2	NM_134433.2
RFX3	NM_134428.2
RFX5	NM_000449.3
RFX6	NM_173560.3
RFX8	NM_001145664.1
RFXANK	NM_003721.3
RFXAP	NM_000538.3
RGL2	NM_004761.4
RGMA	NM_001166283.1
RGR	NM_001012720.1
RGS12	NM_198229.2
RGS2	NM_002923.3
RGS6	NM_004296.5
RGS7	NM_002924.5
RGS9	NM_003835.3
RGS9BP	NM_207391.2
RHAG	NM_000324.2
RHBDF1	NM_022450.3
RHBDF2	NM_024599.5
RHCE	NM_020485.4
RHCG	NM_016321.2
RHD	NM_016124.4
RHNO1	NM_001252499.2
RHO	NM_000539.3
RHOBTB2	NM_001160036.1
RHOH	NM_004310.4
RHOXF2	NM_032498.1
RHPN2	NM_033103.4
RIC3	NM_001206671.2
RIF1	NM_018151.4
RIMS1	NM_001168410.1
RIMS1	NM_014989.5
RIMS3	NM_014747.2
RIN2	NM_018993.3
RINL	NM_001195833.1
RINT1	NM_021930.4
RIPK2	NM_003821.5
RIPK4	NM_020639.2
RIPPLY1	NM_138382.2
RIPPLY2	NM_001009994.2
RIT1	NM_006912.5
RLBP1	NM_000326.4
RLIM	NM_183353.2
RMI1	NM_024945.2
RMND1	NM_017909.3
RNASE3	NM_002935.2
RNASEH1	NM_002936.4
RNASEH2A	NM_006397.2
RNASEH2B	NM_024570.3
RNASEH2C	NM_032193.3
RNASEL	NM_021133.3
RNASET2	NM_003730.4
RNF113A	NM_006978.2
RNF125	NM_017831.3
RNF128	NM_024539.3
RNF128	NM_194463.1
RNF135	NM_032322.3
RNF168	NM_152617.3
RNF170	NM_001160223.1
RNF19A	NM_001280539.1
RNF20	NM_019592.6
RNF207	NM_207396.2
RNF213	NM_001256071.2
RNF216	NM_207111.3
RNF31	NM_017999.4
RNF32	NM_001184996.1
RNF38	NM_022781.4
RNF43	NM_017763.4
RNFT2	NM_001109903.1
RNLS	NM_001031709.2
RNPC3	NM_017619.3
ROBO1	NM_002941.3
ROBO2	NM_002942.4
ROBO3	NM_022370.3
ROCK1	NM_005406.2
ROCK2	NM_004850.3
ROGDI	NM_024589.2
ROM1	NM_000327.3
ROR2	NM_004560.3
RORC	NM_005060.3
ROS1	NM_002944.2
RP1	NM_006269.1
RP1L1	NM_178857.5
RP2	NM_006915.2
RP9	NM_203288.1
RPA1	NM_002945.3
RPA4	NM_013347.4
RPE65	NM_000329.2
RPGR	NM_000328.2
RPGR	NM_001034853.1
RPGRIP1	NM_020366.3
RPGRIP1L	NM_015272.2
RPIA	NM_144563.2
RPL10	NM_006013.4
RPL11	NM_000975.3
RPL21	NM_000982.3
RPL26	NM_000987.3
RPL27	NM_000988.3
RPL31	NM_001098577.2
RPL35A	NM_000996.2
RPL36	NM_033643.2
RPL5	NM_000969.3
RPN2	NM_002951.3
RPS10	NM_001014.4
RPS15	NM_001018.3
RPS19	NM_001022.3
RPS20	NM_001023.3
RPS24	NM_001142285.1
RPS24	NM_033022.3
RPS26	NM_001029.3
RPS27	NM_001030.4
RPS27A	NM_002954.5
RPS28	NM_001031.4
RPS29	NM_001032.4
RPS6KA3	NM_004586.2
RPS6KB2	NM_003952.2
RPS6KC1	NM_001287219.1
RPS7	NM_001011.3
RPSA	NM_002295.5
RPTN	NM_001122965.1
RPTOR	NM_020761.2
RPUSD3	NM_173659.3
RRAGA	NM_006570.4
RRAS	NM_006270.3
RREB1	NM_001003699.3
RRH	NM_006583.2
RRM2B	NM_015713.4
RRP12	NM_015179.3
RRP1B	NM_015056.2
RRP8	NM_015324.3
RS1	NM_000330.3
RSPH1	NM_080860.3
RSPH3	NM_031924.4
RSPH4A	NM_001010892.2
RSPH9	NM_152732.4
RSPO1	NM_001038633.3
RSPO4	NM_001029871.3
RSPRY1	NM_133368.1
RSRC2	NM_023012.5
RTEL1	NM_001283009.1
RTEL1	NM_032957.4
RTF1	NM_015138.4
RTKN2	NM_145307.3
RTN2	NM_005619.4
RTN3	NM_001265589.1
RTN4IP1	NM_032730.4
RTN4R	NM_023004.5
RTN4RL1	NM_178568.3
RTTN	NM_173630.3
RUNDC1	NM_173079.2
